,AMZN_ret,META_ret,GOOGL_ret,NVDA_ret,MSFT_ret,AMZN_excess,META_excess,GOOGL_excess,NVDA_excess,MSFT_excess,AI,Gemini,ChatGPT,Machine Learning,OpenAI,Meta AI,Microsoft AI,NVIDIA AI,Google AI,Amazon AI,AI_lag1,AI_lag2,Gemini_lag1,Gemini_lag2,ChatGPT_lag1,ChatGPT_lag2,Machine Learning_lag1,Machine Learning_lag2,OpenAI_lag1,OpenAI_lag2,Meta AI_lag1,Meta AI_lag2,Microsoft AI_lag1,Microsoft AI_lag2,NVIDIA AI_lag1,NVIDIA AI_lag2,Google AI_lag1,Google AI_lag2,Amazon AI_lag1,Amazon AI_lag2
2020-03-01,0.035020571318223226,-0.1333713718043038,-0.13238752623099248,-0.023373046003820286,-0.023882831393147064,0.16013985372715145,-0.008252089395375584,-0.0072682438220642576,0.10174623640510794,0.10123645101578116,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-04-01,0.2689001176660717,0.22727819130870186,0.15899996747233902,0.10880122326291386,0.13632659039540362,0.1420560795007928,0.10043415314342297,0.03215592930706013,-0.018042814902365034,0.00948255223012473,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-05-01,-0.012784941240091774,0.09955527649610252,0.06446869112422893,0.21465705052327055,0.022542996062580922,-0.058066760905649994,0.0542734568305443,0.019186871458670707,0.16937523085771233,-0.0227388236029773,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-06-01,0.12956672853391127,0.008796601841223994,-0.010791540394351151,0.07010878510535634,0.11365249350650708,0.11117833201998706,-0.009591794672700216,-0.02917993690827536,0.05172038859143213,0.09526409699258287,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-07-01,0.1471136218500213,0.1171443651029973,0.049293068282469266,0.11811690920530027,0.007370481967140297,0.09201230036957764,0.06204304362255364,-0.0058082531979744,0.0630155877248566,-0.04773083951330337,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-08-01,0.09046103369298208,0.15583248434770702,0.09515104029744448,0.25999226551809307,0.10009262900635618,0.02039636679126433,0.08576781744598927,0.025086373395726724,0.18992759861637531,0.030027962104638428,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-09-01,-0.08757859185260553,-0.10675312997678321,-0.10059968110915407,0.011663751587303484,-0.06514232312553003,-0.04835062167418247,-0.06752515979836016,-0.061371710930731016,0.05089172176572654,-0.025914352947106978,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-10-01,-0.03575408533520552,0.004620042915304934,0.1026951735702597,-0.07337124423166641,-0.037369743629010355,-0.008088299113825803,0.03228582913668465,0.13036095979163942,-0.04570545801028669,-0.009703957407630637,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-11-01,0.043439868865324804,0.05267749234311969,0.08556964114405186,0.0692116389299613,0.057292753141111374,-0.06410576657853428,-0.0548681431007394,-0.021975994299807233,-0.038333996513897795,-0.050252882302747715,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-12-01,0.028058383014484267,-0.013755876429924374,-0.0010030757838028759,-0.02585532734263718,0.04172574865559198,-0.009063076079085741,-0.05087733552349438,-0.038124534877372884,-0.06297678643620719,0.004604289562021968,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
