date,AI,Gemini,ChatGPT,Machine Learning,OpenAI,Meta AI,Microsoft AI,NVIDIA AI,Google AI,Amazon AI
2020-01-01,5,2,0,1,0,0,0,0,1,0
2020-02-01,5,2,0,1,0,0,0,0,1,0
2020-03-01,5,1,0,0,0,0,0,0,1,0
2020-04-01,6,2,0,0,0,0,0,0,1,0
2020-05-01,5,2,0,1,0,0,0,0,1,0
2020-06-01,5,2,0,0,0,0,0,0,1,0
2020-07-01,5,1,0,1,0,0,0,0,1,0
2020-08-01,5,1,0,0,0,0,0,0,1,0
2020-09-01,5,1,0,1,0,0,0,0,1,0
2020-10-01,5,1,0,0,0,0,0,0,1,0
2020-11-01,5,1,0,0,0,0,0,0,1,0
2020-12-01,5,1,0,0,0,0,0,0,1,0
2021-01-01,5,1,0,0,0,0,0,0,1,0
2021-02-01,5,1,0,0,0,0,0,0,1,0
2021-03-01,6,1,0,0,0,0,0,0,1,0
2021-04-01,5,1,0,0,0,0,0,0,1,0
2021-05-01,5,2,0,0,0,0,0,0,1,0
2021-06-01,5,1,0,0,0,0,0,0,1,0
2021-07-01,5,1,0,0,0,0,0,0,1,0
2021-08-01,5,1,0,0,0,0,0,0,1,0
2021-09-01,5,1,0,0,0,0,0,0,1,0
2021-10-01,6,1,0,0,0,0,0,0,1,0
2021-11-01,6,1,0,0,0,0,0,0,1,0
2021-12-01,6,1,0,0,0,0,0,0,1,0
2022-01-01,6,1,0,1,0,0,0,0,1,0
2022-02-01,6,1,0,1,0,0,0,0,1,0
2022-03-01,6,1,0,1,0,0,0,0,1,0
2022-04-01,7,1,0,1,0,0,0,0,1,0
2022-05-01,6,1,0,1,0,0,0,0,1,0
2022-06-01,7,1,0,1,0,0,0,0,3,0
2022-07-01,6,1,0,1,0,0,0,0,1,0
2022-08-01,7,1,0,1,0,0,0,0,1,0
2022-09-01,7,1,0,1,0,0,0,0,1,0
2022-10-01,8,1,0,1,0,0,0,0,1,0
2022-11-01,8,1,0,1,0,0,0,0,1,0
2022-12-01,11,1,4,1,1,0,0,0,2,0
2023-01-01,12,1,9,1,2,0,0,0,3,0
2023-02-01,14,1,16,1,3,0,1,0,5,0
2023-03-01,15,1,18,1,3,0,1,0,5,0
2023-04-01,20,1,20,1,3,0,1,0,5,1
2023-05-01,27,1,22,1,2,0,1,0,9,1
2023-06-01,26,1,19,1,2,0,1,0,7,1
2023-07-01,25,1,15,1,2,0,1,0,7,1
2023-08-01,25,1,16,1,1,0,1,0,6,1
2023-09-01,24,1,20,1,1,0,1,0,7,1
2023-10-01,27,1,21,1,1,1,1,0,8,1
2023-11-01,29,1,23,1,2,0,2,0,8,1
2023-12-01,28,2,21,1,1,1,2,0,10,1
2024-01-01,30,1,21,1,1,0,2,0,8,1
2024-02-01,30,4,23,1,2,1,2,1,11,1
2024-03-01,34,4,24,1,1,0,2,1,11,1
2024-04-01,32,4,25,1,1,4,2,1,10,1
2024-05-01,34,5,28,1,2,3,2,1,12,1
2024-06-01,32,5,25,1,2,3,2,1,10,1
2024-07-01,32,4,22,1,1,5,2,1,8,1
2024-08-01,36,5,27,1,1,3,2,1,9,1
2024-09-01,40,6,39,1,1,3,2,1,11,1
2024-10-01,39,6,43,1,1,5,2,1,11,1
2024-11-01,40,6,48,1,1,3,2,1,12,1
2024-12-01,41,6,45,1,2,5,2,1,13,1
2025-01-01,44,6,48,1,1,4,3,2,13,1
2025-02-01,49,7,54,1,2,4,3,1,15,1
2025-03-01,53,8,62,1,2,6,3,1,18,1
2025-04-01,52,9,74,1,2,9,3,1,18,1
2025-05-01,51,10,78,1,2,7,3,1,23,1
2025-06-01,56,13,78,1,2,6,3,1,31,2
2025-07-01,56,11,79,1,2,6,4,2,30,3
2025-08-01,70,13,87,1,10,11,10,9,45,13
2025-09-01,100,74,90,1,8,12,13,8,100,13
2025-10-01,79,39,92,1,6,11,9,6,61,8
